"MOVIE_originalName","MOVIE_genre","MOVIE_duration","WORK_name","WORK_creator","WORK_createDate","WORK_url","WORK_URI"
"海獣の子供","animazione",,"I FIGLI DEL MARE (KAIJU NO KODOMO)","Ayumu Watanabe","2019","https://it.wikipedia.org/wiki/I_figli_del_mare","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/I_figli_del_mare"
"海獣の子供","animazione",,"I FIGLI DEL MARE (KAIJU NO KODOMO)","Ayumu Watanabe","2019","https://it.wikipedia.org/wiki/I_figli_del_mare","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/I_figli_del_mare"
"海獣の子供","animazione",,"I FIGLI DEL MARE (KAIJU NO KODOMO)","Ayumu Watanabe","2019","https://it.wikipedia.org/wiki/I_figli_del_mare","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/I_figli_del_mare"
,,"Durata: 83","WESTERN STARS",,,"False","http://www.semanticweb.org/facilitiesEventsOntology/unknown"
,,"Durata: 83","WESTERN STARS",,,"False","http://www.semanticweb.org/facilitiesEventsOntology/unknown"
,,"Durata: 83","WESTERN STARS",,,"False","http://www.semanticweb.org/facilitiesEventsOntology/unknown"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
,"drammatico","138 min","MIDWAY","Roland Emmerich","2019","https://it.wikipedia.org/wiki/Midway_(film_2019)","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE - 3D (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
"Frozen II","animazione","103 min","FROZEN II - IL SEGRETO DI ARENDELLE (FROZEN II)","Chris Buck","2019","https://it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle","http://www.semanticweb.org/facilitiesEventsOntology/https%3A//it.wikipedia.org/wiki/Frozen_II_-_Il_segreto_di_Arendelle"
