"FAC_name","FAC_telephone","FAC_website","FAC_mail","FAC_hasParking","FAC_animalsAllowed","FAC_smokingAllowed","FAC_isIndoor","GEO_latitude","GEO_longitude","GEO_altitude","GEO_address","GEO_addressLocality","GEO_addressRegion","GEO_postalCode","GEO_locationText","TIMETABLE_Monday","TIMETABLE_Tuesday","TIMETABLE_Wednesday","TIMETABLE_Thursday","TIMETABLE_Friday","TIMETABLE_Saturday","TIMETABLE_Sunday"
"Brentonico Ski","377 167 8207","http://www.brentonicoski.com/","No email from google to avoid spamming",,,,,45.78154,10.941185,,"Piazza Polsa, 1, 38060 Polsa, Brentonico TN","WHAT IS IT??","WHAT IS IT???","38060","http://www.semanticweb.org/facilitiesEventsOntology/Polsa%2C%20San%20Valentino","Closed","Closed","Closed","Closed","Closed","9:00 AM – 4:30 PM","9:00 AM – 4:30 PM"
,,,,,,,,45.9509207,11.0201642,,"Lago di Cei, 38060 Villa Lagarina, Province of Trento","WHAT IS IT??","WHAT IS IT???","38060","http://www.semanticweb.org/facilitiesEventsOntology/Villa%20Lagarina%20-%20Lago%20di%20Cei",,,,,,,
"Museo S.A.S.S. Spazio Archeologico Sotterraneo del Sas","0461 230171","https://www.cultura.trentino.it/Temi/Archeologia","No email from google to avoid spamming",,,,,46.0694843,11.1236374,,"Piazza Cesare Battisti, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Spazio%20Archeologico%20Sotterraneo%20del%20SAS%3B%20Piazza%20Cesare%20Battisti","Closed","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM","9:00 AM – 1:00 PM, 2:00 – 5:30 PM"
"Consorzio Rovereto In Centro","0464 424047","http://www.roveretoincentro.com/","No email from google to avoid spamming",,,,,45.8927082,11.0436527,,"Corso Angelo, Corso Bettini, 64, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/centro%20storico%3B%20Corso%20Bettini%3B%20Rovereto",,,,,,,
"Multiplex G. Modena","0461 261819","http://www.cineworldtrento.it/","No email from google to avoid spamming",,,,,46.06688049999999,11.1255992,,"Viale S. Francesco d'Assisi, 6, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%20-%20Multisala%20G.%20ModenaViale%20S.%20F.%20d%E2%80%99Assisi%2C%208/a%20%E2%80%93%20Trento",,,,,,,
"Auditorium Fausto Melotti",,"http://www.comune.rovereto.tn.it/Entra-in-Comune/Servizi-erogati/Cerca-per-tipologia/Sale-e-spazi-pubblici/Sale-e-spazi-comunali/Auditorium-Fausto-Melotti","No email from google to avoid spamming",,,,,45.8938485,11.044469,,"Corso Bettini, 43, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Rovereto%2C%20%2C%20Theatre%20Auditorium%20Fausto%20Melotti",,,,,,,
"Castel Pergine","0461 531158","http://www.castelpergine.it/it/","No email from google to avoid spamming",,,,,46.05919919999999,11.249821,,"Via al Castello, 10, 38057 Pergine Valsugana TN","WHAT IS IT??","WHAT IS IT???","38057","http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Indirizzo%20non%20disponibile%3B%20Pergine%20Valsugana",,,,,,,
,,,,,,,,46.2895689,11.5079659,,"38038 Tesero, Province of Trento","WHAT IS IT??","WHAT IS IT???","38038","http://www.semanticweb.org/facilitiesEventsOntology/Tesero",,,,,,,
,,,,,,,,46.1080128,11.1115948,,"Via Laurence Feininger, 4, 38121 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Circolo%20ACLI%20GARDOLO%3B%20Via%20Laurence%20Feininger%2C%204",,,,,,,
"Geological Museum of the Dolomites Predazzo","0462 500366","http://www2.muse.it/museogeologico/","No email from google to avoid spamming",,,,,46.31214229999999,11.6035392,,"Piazza SS. Filippo e Giacomo, 2, 38037 Predazzo TN","WHAT IS IT??","WHAT IS IT???","38037","http://www.semanticweb.org/facilitiesEventsOntology/Museo%20Geologico%20delle%20Dolomiti%20di%20Predazzo","Closed","10:00 AM – 12:30 PM, 4:00 – 7:00 PM","10:00 AM – 12:30 PM, 4:00 – 7:00 PM","10:00 AM – 12:30 PM, 4:00 – 7:00 PM","10:00 AM – 12:30 PM, 4:00 – 7:00 PM","10:00 AM – 12:30 PM, 4:00 – 7:00 PM","10:00 AM – 12:30 PM, 4:00 – 7:00 PM"
"Auditorium Fausto Melotti",,"http://www.comune.rovereto.tn.it/Entra-in-Comune/Servizi-erogati/Cerca-per-tipologia/Sale-e-spazi-pubblici/Sale-e-spazi-comunali/Auditorium-Fausto-Melotti","No email from google to avoid spamming",,,,,45.8938485,11.044469,,"Corso Bettini, 43, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/%0D%0AAuditorium%20Melotti%2C%20Rovereto",,,,,,,
,,,,,,,,46.0710383,11.1248052,,"Via del Suffragio, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Via%20del%20Suffragio%3B%20Via%20del%20Suffragio",,,,,,,
,,,,,,,,46.3199561,10.8400103,,"38020 Commezzadura, Province of Trento","WHAT IS IT??","WHAT IS IT???","38020","http://www.semanticweb.org/facilitiesEventsOntology/Commezzadura",,,,,,,
,,,,,,,,46.1757686,11.8283805,,"38054 Fiera di Primiero, Province of Trento","WHAT IS IT??","WHAT IS IT???","38054","http://www.semanticweb.org/facilitiesEventsOntology/Fiera%20di%20Primiero%2C%20Primiero%20-%20Siror%2C%20Primiero%20-%20Imer%20...",,,,,,,
"Social Theatre","0461 213862","http://www.centrosantachiara.it/","No email from google to avoid spamming",,,,,46.06939060000001,11.1225996,,"Via Paolo Oss-Mazzurana, 19, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Social%20Theatre",,,,,,,
"Supercinema Vittoria","0461 261819","http://www.cineworldtrento.it/","No email from google to avoid spamming",,,,,46.06987820000001,11.1240854,,"Via Giannantonio Manci, 72, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%20-%20Supercinema%20VittoriaVia%20Manci%2C%2072%20%E2%80%93%20Trento",,,,,,,
,,,,,,,,46.0415587,11.1329949,,"Via Angelo Bettini, 11, 38123 Trento TN","WHAT IS IT??","WHAT IS IT???","38123","http://www.semanticweb.org/facilitiesEventsOntology/parrocchia%20di%20Madonna%20Bianca%3B%20Via%20Angelo%20Bettini%2C%2011",,,,,,,
"Bookique","342 701 1498","https://bookique.net/","No email from google to avoid spamming",,,,,46.0730057,11.1264776,,"Via Torre D'Augusto, 29, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Bookique%3B%20Via%20Torre%20D%27Augusto","Closed","6:00 PM – 12:00 AM","6:00 PM – 12:00 AM","6:00 PM – 12:00 AM","6:00 PM – 2:00 AM","6:00 PM – 2:00 AM","Closed"
"The Piedicastello Tunnel","0461 174 7000","http://fondazione.museostorico.it/index.php/Luoghi/I-luoghi-della-Fondazione/Le-Gallerie","No email from google to avoid spamming",,,,,46.071672,11.1136268,,"Piazza di Piedicastello, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Trentino%20history%20museum%20foundation%2C%20the%20Tunnels%20of%20Piedicastello%20-%20Trento","Closed","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM","9:00 AM – 6:00 PM"
"Museum of Modern and Contemporary Art of Trento and Rovereto","0464 438887","http://www.mart.trento.it/","No email from google to avoid spamming",,,,,45.8939992,11.0446889,,"Corso Angelo Bettini, 43, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20Area%20educazione","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 9:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM"
,,,,,,,,46.2912024,11.4605662,,"38033 Cavalese, Province of Trento","WHAT IS IT??","WHAT IS IT???","38033","http://www.semanticweb.org/facilitiesEventsOntology/Cavalese",,,,,,,
"Comune Di Trento Comune Di Trento Circoscrizione Di Sardagna","0461 889770",,"No email from google to avoid spamming",,,,,46.06323520000001,11.0971739,,"Via Gerolamo Bucelleni, 10, 38123 Sardagna TN","WHAT IS IT??","WHAT IS IT???","38123","http://www.semanticweb.org/facilitiesEventsOntology/Sala%20della%20circoscrizione%20di%20Sardagna%3B%20Localita%27%20Sardagna",,,,,,,
"MUSE","0461 270311","https://www.muse.it/","No email from google to avoid spamming",,,,,46.0626048,11.1145374,,"Corso del Lavoro e della Scienza, 3, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Muse%20-%20Science%20Museum%20-%20Trento","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 7:00 PM","10:00 AM – 7:00 PM"
,,,,,,,,46.2865642,11.5592481,,"38030 Ziano di Fiemme, Province of Trento","WHAT IS IT??","WHAT IS IT???","38030","http://www.semanticweb.org/facilitiesEventsOntology/Ziano%20di%20Fiemme",,,,,,,
"Ufficio Turistico Informazioni Moena - ApT Val di Fassa","0462 609770","http://www.fassa.com/IT/Moena/","No email from google to avoid spamming",,,,,46.3734901,11.657341,,"Piaz de Navalge, 4, 38035 Moena TN","WHAT IS IT??","WHAT IS IT???","38035","http://www.semanticweb.org/facilitiesEventsOntology/Campitello%20di%20Fassa%2C%20Canazei%2C%20Moena%20...","8:30 AM – 12:30 PM, 3:00 – 7:00 PM","8:30 AM – 12:30 PM, 3:00 – 7:00 PM","8:30 AM – 12:30 PM, 3:00 – 7:00 PM","8:30 AM – 12:30 PM, 3:00 – 7:00 PM","8:30 AM – 12:30 PM, 3:00 – 7:00 PM","8:30 AM – 12:30 PM, 3:00 – 7:00 PM","8:30 AM – 12:30 PM, 3:00 – 7:00 PM"
"City of Pergine Valsugana","0461 502111","http://www.comune.pergine.tn.it/","No email from google to avoid spamming",,,,,46.060537,11.2406332,,"Piazza Municipio, 7, 38057 Pergine Valsugana TN","WHAT IS IT??","WHAT IS IT???","38057","http://www.semanticweb.org/facilitiesEventsOntology/Centro%20Storico%3B%20Piazza%20Gavazzi%3B%20Pergine%20Valsugana",,,,,,,
"MUSE","0461 270311","https://www.muse.it/","No email from google to avoid spamming",,,,,46.0626048,11.1145374,,"Corso del Lavoro e della Scienza, 3, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38121","http://www.semanticweb.org/facilitiesEventsOntology/Muse","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 7:00 PM","10:00 AM – 7:00 PM"
"Museum of Modern and Contemporary Art of Trento and Rovereto","0464 438887","http://www.mart.trento.it/","No email from google to avoid spamming",,,,,45.8939992,11.0446889,,"Corso Angelo Bettini, 43, 38068 Rovereto TN","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Mart%2C%20sale%20espositive","Closed","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM","10:00 AM – 9:00 PM","10:00 AM – 6:00 PM","10:00 AM – 6:00 PM"
"EIT Digital Italy","0461 314045","https://www.eitdigital.eu/","No email from google to avoid spamming",,,,,46.0677984,11.151339,,"1st floor Northern Building, Via Sommarive, 18, 38123 Povo TN","WHAT IS IT??","WHAT IS IT???","38123","http://www.semanticweb.org/facilitiesEventsOntology/EIT%20Digital%20Italy%20Co-Location%20Centre%3B%20Via%20Sommarive%2C%2018","8:00 AM – 7:00 PM","8:00 AM – 7:00 PM","8:00 AM – 7:00 PM","8:00 AM – 7:00 PM","8:00 AM – 7:00 PM","Closed","Closed"
,,,,,,,,45.89096,11.0401399,,"38068 Rovereto, Province of Trento","WHAT IS IT??","WHAT IS IT???","38068","http://www.semanticweb.org/facilitiesEventsOntology/Rovereto",,,,,,,
,,,,,,,,46.06837090000001,10.9817449,,"38070 Santa Massenza, Province of Trento","WHAT IS IT??","WHAT IS IT???","38070","http://www.semanticweb.org/facilitiesEventsOntology/Santa%20Massenza%3B%20Centro%20storico%3B%20Vezzano",,,,,,,
"Teatro SanbàPolis",,,"No email from google to avoid spamming",,,,,46.0456605,11.1330785,,"Via della Malpensada, 82, 38123 Trento TN","WHAT IS IT??","WHAT IS IT???","38123","http://www.semanticweb.org/facilitiesEventsOntology/Trento%2C%20%2C%20Sanb%C3%A0polis%20theatre",,,,,,,
"Hotel Gran Chalet Soreghes Vital","0462 601033","http://www.unionhotelscanazei.it/it/hotel/soreghes","No email from google to avoid spamming",,,,,46.4753428,11.743435,,"Strada De, Via Pent de Sera, 18, 38031 Campitello di Fassa TN","WHAT IS IT??","WHAT IS IT???","38031","http://www.semanticweb.org/facilitiesEventsOntology/Campitello%20di%20Fassa%2C%20Canazei",,,,,,,
,,,,,,,,46.1757686,11.8283805,,"38054 Fiera di Primiero, Province of Trento","WHAT IS IT??","WHAT IS IT???","38054","http://www.semanticweb.org/facilitiesEventsOntology/Primiero%20-%20Imer",,,,,,,
"Cinema Teatro Nuovo Roma","0461 261819","http://www.cineworldtrento.it/","No email from google to avoid spamming",,,,,46.0614157,11.1248262,,"Corso 3 Novembre 1918, 35, 38122 Trento TN","WHAT IS IT??","WHAT IS IT???","38122","http://www.semanticweb.org/facilitiesEventsOntology/Trento%20-%20Cinema%20Teatro%20Nuovo%20RomaCorso%20III%20Novembre%2C%2035%20%E2%80%93%20Trento",,,,,,,
,,,,,,,,45.9296906,11.067229,,"38060 Nomi, Trentino, Province of Trento","WHAT IS IT??","WHAT IS IT???","38060","http://www.semanticweb.org/facilitiesEventsOntology/Villa%20Lagarina%2C%20Nomi%2C%20Pomarolo",,,,,,,
